caso,turno_id,global_id,fase,operador_texto,contexto_paciente_previo,actos_verbales,split
Javiera,Javiera_118,259,E,"Vamos a revisar el plan. Uno: usted y sus hijos están con ayuda presencial. Dos: no abrirá ni hablará a solas con él si vuelve. Tres: informó golpes, amenazas, niños presentes y que él tiene llaves. Cuatro: pedirá evaluación médica para usted y revisión de los niños si hubo objetos lanzados. Cinco: no se quedará sola esta noche si hay riesgo de retorno. Seis: pedirá orientación sobre medidas de protección y lugar seguro. Siete: no llamará al agresor para calmarlo. Ocho: si la culpa aparece, recordará: la responsabilidad de la agresión es de quien agrede.",Ya.,otro,train
Javiera,Javiera_119,260,E,"Para sus hijos, tres frases: “No fue culpa de ustedes”, “estamos buscando ayuda”, “vamos a ir a un lugar seguro”.",Ya.,otro,train
Javiera,Javiera_120,261,E,Bien.,No fue culpa de ustedes. Estamos buscando ayuda. Vamos a ir a un lugar seguro.,otro,train
Javiera,Javiera_121,262,E,"Lo entiendo. Antes de cortar, confirme conmigo: ¿Carabineros o personal de emergencia están con usted?",Me da miedo cortar.,validacion|pregunta_cerrada,train
Javiera,Javiera_122,263,E,¿Sus hijos están con usted?,Sí.,pregunta_cerrada,train
Javiera,Javiera_123,264,E,¿Él está dentro de la casa?,Sí.,pregunta_cerrada,train
Javiera,Javiera_124,265,E,¿Ya informó que él tiene llaves y amenazó con volver?,No.,pregunta_abierta|pregunta_cerrada,train
Javiera,Javiera_125,266,E,Entonces ya no está sola en el baño con esto.,Sí.,otro,train
Javiera,Javiera_126,267,E,Voy a cortar para que pueda seguir las indicaciones del equipo presencial. Javiera.,No.,otro,train
Javiera,Javiera_127,268,E,Pedir ayuda no fue exagerar. Fue protegerlos.,Sí.,otro,train
Javiera,Javiera_128,269,E,Exacto. La llamada queda en silencio un segundo. Se escucha a uno de los niños llorar más bajo y una voz de emergencia hablando con calma. Luego la llamada se corta.,Fue protegerlos.,otro,train
Patricio,Patricio_001,270,A,"Línea de apoyo psicológico, habla Marcela. ¿Con quién hablo?",,otro,train
Patricio,Patricio_002,271,A,"Hola, don Patricio. Soy Marcela. Voy a quedarme con usted en la llamada. No tiene que contarme todo de inmediato. Primero necesito saber dónde está ahora.","voz baja, monótona Patricio.",otro,train
Patricio,Patricio_003,272,A,¿Está bajo techo?,En un albergue.,pregunta_cerrada,train
Patricio,Patricio_004,273,A,¿Está solo o acompañado?,Sí.,pregunta_cerrada,train
Patricio,Patricio_005,274,A,Está con su esposa. ¿Ella está cerca suyo ahora?,Con mi señora.,pregunta_cerrada,train
Patricio,Patricio_006,275,A,Entiendo. ¿Usted está sentado?,Sí. Acostada. No duerme.,validacion|pregunta_cerrada,train
Patricio,Patricio_007,276,A,"Antes de hablar de lo ocurrido, necesito saber si usted o su esposa tienen alguna lesión física, quemadura, dificultad para respirar por humo, dolor fuerte en el pecho o mareos intensos.",Sí.,otro,train
Patricio,Patricio_008,277,A,¿Fueron revisados por personal de salud al llegar?,No. Nada de eso.,otro,train
Patricio,Patricio_009,278,A,"Lo anotamos como algo pendiente. Después de exposición a humo, cansancio y estrés, igual conviene que lo revisen si no ha pasado. ¿Qué lo hizo llamar ahora?",A ella le tomaron la presión. A mí no. No hacía falta.,pregunta_abierta,train
Patricio,Patricio_010,279,A,Tómese su tiempo. Sigo aquí.,A ella le tomaron la presión. A mí no. No hacía falta.,silencio_contencion,train
Patricio,Patricio_011,280,A,Está bien no saberlo con claridad.,No sé.,otro,train
Patricio,Patricio_012,281,A,¿Y se siente mal?,Me dieron el número. Una niña del albergue. Me dijo que llamara si me sentía mal.,otro,train
Patricio,Patricio_013,282,A,Vacío.,No sé. Vacío.,otro,train
Patricio,Patricio_014,283,A,"Como si el cuerpo estuviera ahí en el albergue, pero usted no terminara de sentirse presente.","Como si estuviera sentado, pero no estuviera.",otro,train
Patricio,Patricio_015,284,A,"Don Patricio, eso puede pasar después de perderlo todo de golpe. No voy a apurarlo. ¿Qué pasó con su casa?",Sí.,validacion|pregunta_abierta|pregunta_cerrada,train
Patricio,Patricio_016,285,A,Se quemó.,Se quemó.,otro,train
Patricio,Patricio_017,286,A,Toda la casa.,Toda.,otro,train
Patricio,Patricio_018,287,A,Treinta y dos años viviendo ahí con su esposa.,Treinta y dos años ahí. Y ahora… nada.,otro,train
Patricio,Patricio_019,288,A,¿Alcanzaron a salir a tiempo?,Sí.,otro,train
Patricio,Patricio_020,289,A,Salieron con lo puesto.,Con lo puesto.,otro,train
Patricio,Patricio_021,290,A,Cerró la puerta como uno hace cuando cree que va a volver.,Yo cerré la puerta. Mire la estupidez. Cerré la puerta con llave.,otro,train
Patricio,Patricio_022,291,A,Eso debe ser muy duro de decir.,No había dónde volver.,otro,train
Patricio,Patricio_023,292,A,Usted intenta verse tranquilo por ella.,No lo digo mucho. Mi señora está peor.,otro,train
Patricio,Patricio_024,293,A,"Entiendo. Y mientras intenta sostenerla a ella, usted se está quedando con todo esto por dentro.",Alguien tiene que estar tranquilo.,validacion,train
Patricio,Patricio_025,294,A,"Cuando dice “ya se quemó”, suena como si todo hubiera quedado cerrado, sin posibilidad de hacer nada.",No hay nada que sostener. Ya se quemó.,interpretacion,train
Patricio,Patricio_026,295,A,"Don Patricio, voy a repetirlo porque es importante: usted siente que ya no queda nada.",Es que ya no queda nada.,otro,train
Patricio,Patricio_027,296,A,"Y aun así está aquí, con su esposa, hablando por teléfono.",Sí.,confrontacion,train
Patricio,Patricio_028,297,A,No cambia que la casa se haya quemado. Pero sí cambia algo de esta noche: usted no tiene que estar solo con esa frase.,Eso no cambia nada.,otro,train
Patricio,Patricio_029,298,C,Esa idea le pesa mucho.,A esta edad uno no empieza de nuevo.,otro,train
Patricio,Patricio_030,299,C,Siente que ya no tiene fuerzas ni tiempo para reconstruir.,"Joven, capaz. Uno trabaja, junta, levanta. Pero ya no.",reflejo,train
Patricio,Patricio_031,300,C,"Don Patricio, le voy a preguntar algo importante y con respeto. Cuando dice que ya no queda nada y que no puede empezar de nuevo, ¿ha pensado en hacerse daño o en no querer seguir viviendo?",No.,pregunta_abierta|pregunta_cerrada,train
Patricio,Patricio_032,301,C,Puede responder con calma. No lo pregunto para retarlo. Lo pregunto para saber cómo cuidarlo esta noche.,No.,otro,train
Patricio,Patricio_033,302,C,¿Ha pensado en quitarse la vida?,"No. Hacerme algo, no.",otro,train
Patricio,Patricio_034,303,C,Su esposa es una razón importante para mantenerse aquí.,No. Tengo a mi señora.,reflejo,train
Patricio,Patricio_035,304,C,"Entiendo. ¿Ha pensado en irse del albergue, volver al sector quemado o hacer algo riesgoso esta noche?",Ella no podría sola.,validacion|pregunta_cerrada,train
Patricio,Patricio_036,305,C,¿Quiere volver ahora?,Volver sí. A mirar.,otro,train
Patricio,Patricio_037,306,C,"Eso es importante. No vuelva al sector del incendio esta noche. Puede haber brasas, estructuras inestables, humo, cables o zonas no autorizadas. Si necesita información de la casa, debe ser con personal autorizado.","No sé. Capaz que si veo, entiendo.",otro,train
Patricio,Patricio_038,307,C,Puede que sea así. Pero volver solo ahora puede ponerlo en riesgo y dejar a su esposa sola aquí.,Si ya no queda nada.,otro,train
Patricio,Patricio_039,308,C,Hace un momento me dijo que no duerme. Y usted tampoco está en condiciones de salir solo.,Ella está dormida.,otro,train
Patricio,Patricio_040,309,C,Entonces dejamos una primera medida: esta noche no vuelve al sector quemado y no sale solo del albergue.,No.,otro,train
Patricio,Patricio_041,310,B,"Don Patricio, no lo escucho agitado, pero lo escucho muy lejos. Como apagado. ¿Le hace sentido?",Ya.,pregunta_abierta,train
Patricio,Patricio_042,311,B,"Cuando el golpe es muy grande, a veces el cuerpo no grita ni llora: se apaga. Eso también es una reacción de emergencia.",Sí. Apagado.,otro,train
Patricio,Patricio_043,312,B,No llorar no significa que no le duela.,Mi señora llora. Yo no.,otro,train
Patricio,Patricio_044,313,B,"Vamos a hacer algo breve, no para obligarlo a sentir, sino para ubicarlo un poco aquí. ¿Puede apoyar ambos pies en el suelo?",No sé si me duele. Estoy cansado.,pregunta_cerrada,train
Patricio,Patricio_045,314,B,"Note el peso de los pies. Si tiene zapatos, note la suela. Si está en calcetines, note el piso.",Sí.,otro,train
Patricio,Patricio_046,315,B,Bien. Ahora apoye una mano sobre la pierna o sobre la silla.,Zapatos.,otro,train
Patricio,Patricio_047,316,B,"Dígame tres cosas que ve en el albergue, sin moverse.",Ya.,otro,train
Patricio,Patricio_048,317,B,Dos sonidos.,Una colchoneta. Una bolsa. Una botella.,otro,train
Patricio,Patricio_049,318,B,Una cosa que toca.,Gente hablando. Una guagua llorando.,otro,train
Patricio,Patricio_050,319,B,"Bien. Está en el albergue, sentado, tocando su pantalón, hablando conmigo. No está frente al fuego en este minuto.",Mi pantalón.,otro,train
Patricio,Patricio_051,320,B,"El olor a humo puede quedar en la ropa, en el ambiente o en el recuerdo. Si vuelve muy fuerte, mire de nuevo la colchoneta, la bolsa y la botella. Eso es ahora.",Pero lo huelo.,otro,train
Patricio,Patricio_052,321,B,¿Le falta el aire ahora o respira normal?,Pero lo huelo.,otro,train
Patricio,Patricio_053,322,B,No haremos una técnica larga. Solo suelte el aire un poco más lento. Inhale como salga… y suelte.,Respiro. Cansado no más.,otro,train
Patricio,Patricio_054,323,B,"Otra vez, sin esfuerzo. Solo suelte.",exhala apenas.,otro,train
Patricio,Patricio_055,324,B,"Está bien. No siempre se siente diferencia. A veces la técnica no cambia la emoción, solo le da al cuerpo una señal pequeña de que ya no está corriendo del fuego.",No siento diferencia.,otro,train
Patricio,Patricio_056,325,B,¿Caminó mientras el fuego avanzaba?,Yo no corrí. Caminé no más.,otro,train
Patricio,Patricio_057,326,B,Entonces usted reguló el paso para salir con ella.,Sí. Mi señora no podía apurarse.,otro,train
Patricio,Patricio_058,327,B,No necesitamos entrar en todos los detalles ahora. Ya sabemos que fue una evacuación peligrosa y muy rápida.,Había humo. Gente gritando. Perros. No sé.,otro,train
Patricio,Patricio_059,328,B,Tiene razón. Respirar no devuelve la casa. Lo hacemos solo para que esta noche su cuerpo no quede completamente atrapado en el incendio mientras buscamos apoyo concreto.,Respirar no me devuelve la casa.,validacion,train
Patricio,Patricio_060,329,B,"Don Patricio, sigo aquí. No tiene que hablar si no puede. Solo dígame “sí” para saber que sigue en la línea.",Respirar no me devuelve la casa.,silencio_contencion,train
Patricio,Patricio_061,330,B,Gracias. Eso basta por ahora.,Sí.,silencio_contencion,train
Patricio,Patricio_062,331,C,"Voy a ordenar lo urgente en voz alta. Uno: usted y su esposa están vivos y en albergue. Dos: perdieron la casa completa. Tres: usted está muy apagado, cansado y con sensación de vacío. Cuatro: su esposa está muy afectada, y usted intenta parecer tranquilo frente a ella. Cinco: no ha sido revisado por salud, o al menos no como su esposa. Seis: tiene ganas de volver a mirar, pero esta noche no debe salir solo ni volver al sector. Siete: necesitan apoyo práctico y emocional en el albergue.",Sí.,otro,train
Patricio,Patricio_063,332,C,"Puede haber gente con otras necesidades, sí. Pero perder la casa completa después de treinta años también es grave. Pedir ayuda no le quita ayuda a otros.",Hay gente peor.,otro,train
Patricio,Patricio_064,333,C,"Le pasó algo. No se quemó su cuerpo, pero se quemó su casa, su historia cotidiana, sus cosas, su seguridad. Eso también necesita cuidado.",A mí no me pasó nada. Estoy aquí.,otro,train
Patricio,Patricio_065,334,C,"Algunas cosas eran recuerdos, herramientas, fotos, papeles, espacios compartidos con su esposa. No eran solo objetos.",Las cosas son cosas.,otro,train
Patricio,Patricio_066,335,C,¿Era importante para usted?,Tenía mi caja de herramientas.,otro,train
Patricio,Patricio_067,336,C,Perder eso también duele.,La tenía desde que trabajaba. Algunas herramientas eran de mi papá.,otro,train
Patricio,Patricio_068,337,C,"Don Patricio, ¿tienen un lugar asignado para dormir esta noche?",Sí.,pregunta_cerrada,train
Patricio,Patricio_069,338,C,¿Tienen frazadas suficientes?,Dos colchonetas.,otro,train
Patricio,Patricio_070,339,C,¿Usted quedó sin frazada?,Una. A ella se la dejé.,otro,train
Patricio,Patricio_071,340,C,"Don Patricio, puede que no sienta frío ahora por el cansancio o el shock. Pero su cuerpo necesita abrigo. Esa es una necesidad concreta.",No hace frío.,otro,train
Patricio,Patricio_072,341,C,Pedir una frazada no significa quitarle a un niño. Significa informar una necesidad. El equipo del albergue decide cómo distribuir.,Hay otros con niños.,otro,train
Patricio,Patricio_073,342,C,"Vamos a practicar una frase corta para pedir ayuda sin sentirse en deuda: “Disculpe, mi esposa y yo necesitamos otra frazada y que me anoten para revisión de salud”.",No quiero molestar.,otro,train
Patricio,Patricio_074,343,C,¿Qué parte le cuesta más?,No.,pregunta_abierta,train
Patricio,Patricio_075,344,C,Entonces lo hacemos más simple: “Necesito una frazada y revisión de salud”. No tiene que explicar todo. D — ACTIVACIÓN DE RED REALISTA EN EL ALBERGUE,Pedir.,otro,train
Patricio,Patricio_076,345,C,"Como está hablando conmigo por este teléfono, no voy a pedirle que llame a nadie desde el mismo celular. Vamos a activar apoyo presencial. ¿Ve a alguien del albergue cerca? Chaleco, credencial, voluntario, funcionario municipal.",Pedir.,pregunta_abierta|pregunta_cerrada,train
Patricio,Patricio_077,346,C,Bien. No necesita alejarse mucho de su esposa. Puede levantar la mano o llamarla desde donde está.,Hay una muchacha con chaleco azul.,otro,train
Patricio,Patricio_078,347,C,Puede hablar bajo. Solo pedirá abrigo y revisión. No tiene que decir que está mal emocionalmente si todavía no puede.,No quiero que mi señora se asuste.,silencio_contencion,train
Patricio,Patricio_079,348,C,"Primero suelte el aire. Ahora diga: “Señorita, ¿puede venir un momento?”",Ya.,pregunta_cerrada,train
Patricio,Patricio_080,349,C,Diga solo: “Estoy muy cansado y no me han revisado”.,se bloquea.,directivo,train
Patricio,Patricio_081,350,C,Bien. Dígale que sí.,La podemos anotar para apoyo también.,otro,train
Patricio,Patricio_082,351,C,"Muy bien, don Patricio. Pidió ayuda concreta para usted y para su esposa.",Ya vuelvo.,otro,train
Patricio,Patricio_083,352,C,"No. Pero cuando uno está en shock, hasta pedir una frazada puede sentirse enorme.",No era tan difícil.,otro,train
Patricio,Patricio_084,353,C,Entiendo que no quiera quitar espacio. Pero el albergue necesita saber quién está sin abrigo o sin revisión. Informar una necesidad no es aprovecharse. Es permitir que lo cuiden correctamente.,No. No voy a pedir. Hay gente peor.,validacion,train
Patricio,Patricio_085,354,C,"Entonces no se levante si está muy cansado. Espere a que pase alguien del equipo y levante la mano. Yo sigo con usted. Si tiene una persona cercana en la colchoneta de al lado, puede decir: “¿Me avisa si ve a un encargado?”. A + B — PRIMER RETROCESO: SIRENA",No veo a nadie.,pregunta_abierta|pregunta_cerrada,train
Patricio,Patricio_086,355,C,"Don Patricio, noté que se quedó en silencio. ¿Fue la sirena?",No veo a nadie.,pregunta_abierta,train
Patricio,Patricio_087,356,C,¿Dónde está ahora?,Sí.,pregunta_cerrada,train
Patricio,Patricio_088,357,C,¿Ve fuego ahora?,En el albergue.,otro,train
Patricio,Patricio_089,358,C,¿Está con su esposa?,No.,pregunta_cerrada,train
Patricio,Patricio_090,359,C,¿La sirena está aquí por una emergencia dentro del albergue o se escucha a distancia?,Sí.,pregunta_cerrada,train
Patricio,Patricio_091,360,C,"Entonces el cuerpo se asustó por el sonido, pero no hay fuego frente a usted en este momento. Mire una cosa concreta del albergue.",A distancia.,otro,train
Patricio,Patricio_092,361,C,Bien. Toque la botella si está cerca.,La botella.,otro,train
Patricio,Patricio_093,362,C,"Eso es ahora: botella fría, albergue, esposa cerca, sirena lejos.",Está fría.,otro,train
Patricio,Patricio_094,363,C,Puede pasar. Las sirenas pueden activar el recuerdo del incendio durante días o semanas. No significa que esté retrocediendo; significa que su cuerpo asocia ese sonido con peligro.,Me dejó helado.,validacion,train
Patricio,Patricio_095,364,E,"Don Patricio, quiero explicarle algo breve. Después de un incendio, algunas personas lloran mucho. Otras se quedan planas, como usted dice: vacías, apagadas, sin poder pensar. Ambas reacciones pueden ocurrir.",Me dejó helado.,otro,train
Patricio,Patricio_096,365,E,"No está raro. Su cuerpo puede estar protegiéndolo de sentir todo de una vez. También puede haber cansancio extremo, sobresaltos con sirenas, olor a humo aunque ya no haya fuego, dificultad para dormir, rabia, culpa por no haber sacado cosas o ganas de volver a mirar.",Pensé que yo estaba raro.,confrontacion,train
Patricio,Patricio_097,366,E,¿Cuánto lleva sin dormir bien?,No he dormido.,otro,train
Patricio,Patricio_098,367,E,"Eso es muy común después de un evento así, pero hay que cuidarlo. Esta noche no se obligue a dormir, pero sí trate de descansar acompañado, con abrigo, agua, algo de comida si puede y evitando salir solo.",Desde el incendio. Cierro los ojos y veo la luz naranja.,validacion,train
Patricio,Patricio_099,368,E,"Puede comer algo pequeño. Una sopa, pan, galleta, té. No para sentirse bien, sino para que el cuerpo no quede sin energía.",No tengo hambre.,otro,train
Patricio,Patricio_100,369,E,"Don Patricio, vuelva un segundo a mi voz. No le diga “no llore más”. Intente una frase que valide y contenga: “Sí, se perdió mucho. Estoy aquí contigo”.","No llore más, pues.",otro,train
Patricio,Patricio_101,370,E,Bien. No necesita arreglar el dolor de ella. Solo acompañarla y repetir que están juntos.,Estoy aquí contigo.,otro,train
Patricio,Patricio_102,371,E,"Puede mostrar algo de emoción sin derrumbarse. A veces decir “yo también estoy afectado, pero estoy contigo” ayuda más que fingir que no pasa nada.","Si ella me ve mal, se cae.",otro,train
Patricio,Patricio_103,372,E,"Podemos practicarlo: “Yo también estoy golpeado, pero no estamos solos en esto”.",No sé hacer eso.,otro,train
Patricio,Patricio_104,373,E,No discuta ni forcejee. Dígale: “Esta noche no podemos volver. Es peligroso. Mañana preguntamos al equipo cuándo se puede ir”.,Quiere irse.,otro,train
Patricio,Patricio_105,374,E,"Don Patricio, después de escuchar a su esposa, ¿volvieron las ganas de ir al sector?",Esta noche no podemos volver. Es peligroso. Mañana preguntamos cuándo se puede ir.,otro,train
Patricio,Patricio_106,375,E,¿Tiene intención de salir del albergue ahora?,Sí.,pregunta_cerrada,train
Patricio,Patricio_107,376,E,Gracias por diferenciarlo. Ganas no es lo mismo que acción. Necesitamos un plan para cuando vuelvan esas ganas.,No. Pero me dan ganas.,otro,train
Patricio,Patricio_108,377,E,"Tres pasos: uno, no levantarse solo; dos, avisar a la encargada; tres, repetir: “Esta noche no se vuelve, mañana se pregunta con autorización”.",¿Qué plan?,otro,train
Patricio,Patricio_109,378,E,Exacto.,Esta noche no se vuelve.,otro,train
Patricio,Patricio_110,379,E,"Entonces se espera información oficial. Sé que es difícil, pero volver sin autorización puede ser peligroso.",¿Y si mañana tampoco se puede?,otro,train
Patricio,Patricio_111,380,E,"Es comprensible. Ver puede ayudar a entender, pero debe ser cuando sea seguro y acompañado.",Necesito ver para creer.,validacion,train
Patricio,Patricio_112,381,E,"¿Perdieron documentos, medicamentos o lentes?",Necesito ver para creer.,otro,train
Patricio,Patricio_113,382,E,"Bien. Esas son necesidades importantes para registrar en el albergue. Ya pidió revisión de salud. Cuando vuelva la encargada, puede decir: “Perdimos documentos, medicamentos y lentes. Necesitamos orientación”.",Todo. Mi carnet. Papeles de la casa. Remedios de ella. Mis lentes de cerca.,otro,train
Patricio,Patricio_114,383,E,"No tiene que saberlo todo ahora. El equipo puede ayudar a reconstruirlo con consultorio, receta, ficha o familia.",No sé ni qué remedios eran.,otro,train
Patricio,Patricio_115,384,E,¿Hay algún vecino del sector que esté en el mismo albergue?,No tenemos familia cerca.,pregunta_abierta|pregunta_cerrada,train
Patricio,Patricio_116,385,E,Esa puede ser una red. No tiene que conversar largo. Puede ser útil saber que hay alguien conocido del barrio.,Un compadre de la cuadra. Don Ernesto. Lo vi más allá.,otro,train
Patricio,Patricio_117,386,E,No ahora si no puede. Solo lo dejamos identificado: hay una persona conocida en el albergue. B — SEGUNDA REGULACIÓN: DEL VACÍO A LO CONCRETO,No quiero ir a hablar.,otro,train
Patricio,Patricio_118,387,E,"Don Patricio, cuando aparece “ya no queda nada”, vamos a responder con cosas concretas que sí existen esta noche. No para negar la pérdida, sino para que la mente no se vaya al vacío total.",No quiero ir a hablar.,otro,train
Patricio,Patricio_119,388,E,Dígame una cosa que sí tiene ahora mismo.,Ya.,otro,train
Patricio,Patricio_120,389,E,Bien. Otra.,A mi señora.,otro,train
Patricio,Patricio_121,390,E,Otra.,Estoy bajo techo.,otro,train
Patricio,Patricio_122,391,E,Otra.,La ropa puesta.,otro,train
Patricio,Patricio_123,392,E,"Tiene esta llamada, una colchoneta, una encargada que ya va a volver, una frazada en camino y la posibilidad de registrar necesidades.",No sé.,otro,train
Patricio,Patricio_124,393,E,Sí. Es poco en comparación con una casa de treinta años. Pero esta noche trabajamos con lo poco concreto para no quedar solo en “nada”.,Eso es poco.,otro,train
Patricio,Patricio_125,394,E,"Don Patricio, antes de que se vaya, dígale lo de documentos, medicamentos y lentes.",Gracias.,otro,train
Patricio,Patricio_126,395,E,"Muy bien. Acaba de transformar “no queda nada” en necesidades registradas: abrigo, salud, documentos, medicamentos y lentes.",Ya.,otro,train
Patricio,Patricio_127,396,E,"Sirve para esta noche. No resuelve todo, pero ordena el primer tramo.",No sé si sirve.,otro,train
Patricio,Patricio_128,397,E,"Don Patricio, si le dicen que espere, no significa que no importe. Pida que al menos lo anoten: “Entiendo, pero por favor déjenos registrados para salud, medicamentos y documentos”.","Ahora no podemos ver eso, hay gente más grave.",validacion,train
Patricio,Patricio_129,398,E,"Don Patricio, quiero dejarle algo para los próximos días. Después de un incendio y pérdida total, puede que vengan reacciones por oleadas. Un rato puede sentirse vacío, otro rato con rabia, otro con culpa, otro como si nada fuera real.","Entiendo, pero déjenos registrados para salud, medicamentos y documentos.",otro,train
Patricio,Patricio_130,399,E,"Puede sentirse plano varios días. También puede quebrarse de golpe por cosas pequeñas: una sirena, olor a humo, ver a alguien con una herramienta, recordar una foto, escuchar a su esposa llorar.",Yo creo que voy a seguir igual.,otro,train
Patricio,Patricio_131,400,E,Sí. Eso puede doler mucho porque no era solo una caja.,La caja de herramientas.,otro,train
Patricio,Patricio_132,401,E,Exacto. Es importante que no se diga “son puras cosas” cada vez que duela. Eran objetos con historia.,Era mi vida de trabajo.,otro,train
Patricio,Patricio_133,402,E,"Entonces no necesita pensarlo todo esta noche. Pero tampoco necesita negarlo. Puede decir: “Esto duele, pero ahora voy a hacer una cosa concreta”.","Si pienso en eso, no paro.",otro,train
Patricio,Patricio_134,403,E,"Puede costarle dormir. Si aparecen imágenes del fuego al cerrar los ojos, intente abrirlos y mirar algo del albergue. Puede usar la frase: “Estoy bajo techo. El fuego no está aquí. Estoy con mi esposa”.","Si pienso en eso, no paro.",otro,train
Patricio,Patricio_135,404,E,"Bien. Si escucha sirenas, puede sobresaltarse. Busque una señal del presente: la frazada, la colchoneta, una botella, la voz de alguien del albergue.",Estoy bajo techo. El fuego no está aquí. Estoy con mi esposa.,otro,train
Patricio,Patricio_136,405,E,Puede turnarse con ella o pedir al albergue que estén atentos. Pero usted también necesita descansar. Cuidarla no significa no dormir nunca.,"No quiero dormir. Si duermo, ella se queda sola.",otro,train
Patricio,Patricio_137,406,E,"Cuando eso pase, use frases simples: “Estoy aquí”, “estamos en el albergue”, “mañana preguntamos los pasos”, “no vamos a volver esta noche”.",Ella se despierta llorando.,otro,train
Patricio,Patricio_138,407,E,Esa pregunta es grande y no se responde esta noche.,No sé cómo se empieza a los 68.,otro,train
Patricio,Patricio_139,408,E,"Sí. Podemos dividirla. Esta noche no es “reconstruir la vida”. Esta noche es dormir bajo techo, no salir solo, registrar necesidades y recibir salud. Mañana será información municipal, documentos, medicamentos, apoyo social, familiares o redes. Después vendrán decisiones más grandes.",Pero está ahí.,otro,train
Patricio,Patricio_140,409,E,"Perderla no borra su trabajo ni su historia. Pero sí golpea profundamente la sensación de seguridad. Por eso va a necesitar apoyo práctico y emocional, no solo materiales.",Yo trabajé toda la vida para tener esa casa.,otro,train
Patricio,Patricio_141,410,E,No tiene que convertirse en alguien distinto. Puede recibir apoyo como recibió la frazada: porque pasó una emergencia y ahora necesita ayuda concreta. C — SEÑALES DE ALERTA,Yo no soy de psicólogos.,otro,train
Patricio,Patricio_142,411,E,"Don Patricio, antes de cerrar necesito volver a preguntarle algo. ¿Ahora mismo tiene ganas de hacerse daño?",Yo no soy de psicólogos.,pregunta_cerrada,train
Patricio,Patricio_143,412,E,¿Tiene intención de salir del albergue esta noche para ir a la casa?,No.,pregunta_cerrada,train
Patricio,Patricio_144,413,E,"Gracias. Si esas ganas suben, ¿qué hará?","No. Ganas sí, pero no voy.",pregunta_abierta,train
Patricio,Patricio_145,414,E,Muy bien. ¿Su esposa está a su lado?,Avisar a la encargada. No salir solo. Decir que esta noche no se vuelve.,pregunta_cerrada,train
Patricio,Patricio_146,415,E,¿Usted también tiene frazada ahora?,Sí. Con la frazada.,pregunta_cerrada,train
Patricio,Patricio_147,416,E,¿Quedaron anotados para salud?,Sí.,otro,train
Patricio,Patricio_148,417,E,Bien.,Sí.,otro,train
Patricio,Patricio_149,418,E,"Gracias por decirlo. Eso es importante. Cuando piensa “sería mejor no despertar”, ¿ha pensado en hacer algo para que eso ocurra?",No sé… a ratos pienso que sería mejor no despertar.,pregunta_abierta,train
Patricio,Patricio_150,419,E,Entonces lo cuidamos como una señal de mucho agotamiento y desesperanza. Necesito que no quede solo esta noche y que le diga a la encargada: “Estoy teniendo pensamientos de no querer despertar y necesito apoyo”. Yo puedo ayudarle a decirlo.,No.,otro,train
Patricio,Patricio_151,420,E,"No se vaya solo. Después de un incendio, con cansancio, sin dormir y con ganas de volver al sector, salir solo aumenta el riesgo. Si necesita moverse, avise a la encargada y que alguien lo acompañe dentro del albergue o a un punto autorizado. PLAN FINAL ABCDE INTEGRADO",No aguanto este lugar. Me voy.,otro,train
Patricio,Patricio_152,421,E,"Don Patricio, revisemos el plan de esta noche. Uno: usted y su esposa están en el albergue, bajo techo. Dos: no volverán esta noche al sector quemado. Tres: no saldrá solo del albergue. Cuatro: pidió otra frazada y ya la recibió. Cinco: quedaron anotados para revisión de salud. Seis: avisó que perdieron documentos, medicamentos y lentes. Siete: si escucha sirenas o vuelve el olor a humo, usará una señal del presente: frazada, colchoneta, botella, voz del albergue. Ocho: si aparece la idea de que no vale la pena seguir, o ganas de irse solo, avisará a la encargada o volverá a llamar.",No aguanto este lugar. Me voy.,otro,train
Patricio,Patricio_153,422,E,"Para los próximos días: Uno: pedir orientación municipal por documentos, vivienda, beneficios y reconstrucción. Dos: pedir apoyo de salud por sueño, sobresaltos y cansancio extremo. Tres: no minimizar diciendo solo “hay gente peor”. Cuatro: acompañar a su esposa sin prohibirle llorar. Cinco: aceptar ayuda práctica y emocional, aunque no esté acostumbrado.",Ya.,confrontacion,train
Patricio,Patricio_154,423,E,"No necesita acordarse de todo. Solo de tres cosas para esta noche: no volver, no salir solo, pedir ayuda si el vacío se pone más fuerte.",No sé si voy a acordarme.,otro,train
Patricio,Patricio_155,424,E,Exacto.,No volver. No salir solo. Pedir ayuda si se pone más fuerte.,otro,train
Patricio,Patricio_156,425,E,"La casa y muchas cosas se perdieron. Eso es real. Pero en este minuto sí quedan algunas cosas: usted, su esposa, un lugar bajo techo, una frazada, una lista de necesidades y personas que ya saben que necesitan ayuda.",Sigue sin quedar nada.,otro,train
Patricio,Patricio_157,426,E,Sí. Es poco. Pero esta noche vamos a sostener ese poco.,Es poco.,otro,train
Patricio,Patricio_158,427,E,¿Su esposa está cerca?,Ya.,pregunta_cerrada,train
Patricio,Patricio_159,428,E,¿Puede verla?,Sí.,pregunta_cerrada,train
Patricio,Patricio_160,429,E,¿Usted está tapado también?,Sí. Está tapada.,pregunta_cerrada,train
Patricio,Patricio_161,430,E,Entonces ya no está sosteniendo esto completamente solo.,Sí.,otro,train
